title,address,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categoryName,cid,city,claimThisBusiness,countryCode,imageUrl,imagesCount,isAdvertisement,location/lat,location/lng,neighborhood,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,permanentlyClosed,phone,phoneUnformatted,postalCode,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,state,street,subTitle,totalScore,url,website
Dev Copy,"19-20, Vishwa Kosh Marg, Shanti Nagar, Usmanpura, Ahmedabad, Gujarat 380013, India",Print shop,,,,,,,,,,Print shop,8.89E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npgFfxrCrta2Xxq2VCkA4p7omXPdNi9p_abuD4RGpsXv6pV1528ysuFSixQuft_57YklPWXc0-d4CTRHxGBGnB4Y8hzoOhE_wrR0raEQolOJ33Kdq6UmqglgUjJCF01YY4vlms3=w408-h306-k-no,11,FALSE,23.0481133,72.5673257,"Shanti Nagar, Usmanpura",Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,10:30 AM to 5 PM,FALSE,+91 99243 49653,9.20E+11,380013,35,73,63,5,4,1,0,Gujarat,"19-20, Vishwa Kosh Marg",દેવ કૉપિ,4.7,https://www.google.com/maps/search/?api=1&query=Dev%20Copy&query_place_id=ChIJF-bYLoiEXjkRhmMBh_GgXHs,
shivanya digital,"Shop No, 4, Center, Deepawali Complex, Opp, Old High Ct Rd, nr. Income Tex, Ashram Road, Sattar Taluka Society, Usmanpura, Ahmedabad, Gujarat 380014, India",Print shop,,,,,,,,,,Print shop,3.08E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipNTMf3TuYmq2ufXUODlYjpEyhV-9iWtDOvDJS6_=w408-h306-k-no,17,FALSE,23.0403899,72.5670879,"Ashram Road, Sattar Taluka Society, Usmanpura",Monday,10 AM to 8 PM,Tuesday,10 AM to 8 PM,Wednesday,10 AM to 8 PM,Thursday,10 AM to 8 PM,Friday,10 AM to 8 PM,Saturday,10 AM to 8 PM,Sunday,Closed,FALSE,+91 96016 56698,9.20E+11,380014,40,42,37,3,1,1,0,Gujarat,"Shop No, 4, Center, Deepawali Complex, Opp, Old High Ct Rd, nr. Income Tex",,4.8,https://www.google.com/maps/search/?api=1&query=shivanya%20digital&query_place_id=ChIJby0gB1WFXjkRkPISewKZtSo,
Shardul Printing Press,"Basement, Rambha Complex, Income Tax Circle, Ashram Rd, opposite Gujarat Vidyapith Road, Usmanpura, Ahmedabad, Gujarat 380014, India",Print shop,,,,,,,,,,Print shop,5.77E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipNJU7LD2JglwtWRiB-0-zn4G8zQn2IyHA6jbT6E=w408-h656-k-no,40,FALSE,23.0424719,72.5700443,Usmanpura,Monday,9:30 AM to 7 PM,Tuesday,9:30 AM to 7 PM,Wednesday,9:30 AM to 7 PM,Thursday,9:30 AM to 7 PM,Friday,9:30 AM to 7 PM,Saturday,9:30 AM to 7 PM,Sunday,Closed,FALSE,+91 79 3566 2235,9.18E+11,380014,41,75,63,5,2,5,0,Gujarat,"Basement, Rambha Complex, Income Tax Circle, Ashram Rd, opposite Gujarat Vidyapith Road",શાર્દુલ છાપખાનું,4.7,https://www.google.com/maps/search/?api=1&query=Shardul%20Printing%20Press&query_place_id=ChIJef_Z51-EXjkRDxNCqapXDVA,http://www.shardulprintingpress.com/
Precious Business Systems,"201, Sunrise Avenue Opp Kailash Tower Nr jain Temple Stadium Circle, To, Commerce College Rd, Navrangpura, Ahmedabad, Gujarat 380009, India",Copy shop,Copier repair service,Printing equipment supplier,Office equipment supplier,,,,,,,Copy shop,1.78E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipNWDbxD1lQ8zo4DjJV-gOA4j5sz4mrCS7HkB6jL=w408-h725-k-no,,FALSE,23.0397958,72.5602905,"Swastik Society, Navrangpura",Monday,10 AM to 6:30 PM,Tuesday,10 AM to 6:30 PM,Wednesday,10 AM to 6:30 PM,Thursday,10 AM to 6:30 PM,Friday,10 AM to 6:30 PM,Saturday,10 AM to 6:30 PM,Sunday,Closed,FALSE,+91 85111 21069,9.19E+11,380009,43,22,18,4,0,0,0,Gujarat,"201, Sunrise Avenue Opp Kailash Tower Nr jain Temple Stadium Circle, To, Commerce College Rd",પ્રિસિયસ બિઝનેસ સિસ્ટમ્સ,4.8,https://www.google.com/maps/search/?api=1&query=Precious%20Business%20Systems&query_place_id=ChIJ____P_WEXjkRzAknCl44jPc,https://preciousbusiness.co.in/
Mbabulal printery,"Janpath complex, 305, Ashram Rd, opposite Patang Hotel, Paldi, Ahmedabad, Gujarat 380006, India",Print shop,,,,,,,,,,Print shop,1.63E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipMtJ8BNYHMRFSfDLwVZSGtJcGCEAMIH1cGvrwEa=w408-h306-k-no,55,FALSE,23.0446855,72.5701536,Paldi,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,FALSE,,,380006,44,1,1,0,0,0,0,Gujarat,"Janpath complex, 305, Ashram Rd, opposite Patang Hotel",,5,https://www.google.com/maps/search/?api=1&query=Mbabulal%20printery&query_place_id=ChIJc0wofTOFXjkRJ_lAdjNU8eE,
my print solutions,"C27 gr, floor, SUMEL BUSINESS PARK-6, Dudheshwar Rd, Dudheshwar, Ahmedabad, Gujarat 380004, India",Print shop,Lamination service,Printing equipment supplier,Printer repair service,Toner cartridge supplier,,,,,,Print shop,6.46E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipNFU809OAZ76Cz4m0CDabteBeF3BHZtzpsvURr9=w408-h544-k-no,5,FALSE,23.0464926,72.5842537,Dudheshwar,Monday,10:30 AM to 8 PM,Tuesday,10:30 AM to 8 PM,Wednesday,10:30 AM to 8 PM,Thursday,10:30 AM to 8 PM,Friday,10:30 AM to 8 PM,Saturday,10:30 AM to 8 PM,Sunday,Closed,FALSE,+91 98244 10066,9.20E+11,380004,46,2,2,0,0,0,0,Gujarat,"C27 gr, floor, SUMEL BUSINESS PARK-6, Dudheshwar Rd",,5,https://www.google.com/maps/search/?api=1&query=my%20print%20solutions&query_place_id=ChIJNz22fJaFXjkRV2UMnnEYo1k,
Shreeji Copiers & Stationers,"Ground Floor - 1, Omkar House, Behind Femina Town, Near Swastik Char Rasta, Chimanlal Girdharlal Rd, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",Print shop,Stationery store,,,,,,,,,Print shop,6.91E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKMdiGV2dW0l-KSVyXFWWpF0tizMX7aCjUP8qy6HoeL0PpR3OZloNSdEuMcvZkVhfFM07AzRhewj4awjE4FibTrqqJwE5g16kfUuXlAlXPnIGquxGAq8Nyq0SZpEJXdUeU-hA=w408-h544-k-no,4,FALSE,23.038141,72.562644,"Swastik Society, Navrangpura",Monday,10 AM to 8 PM,Tuesday,10 AM to 8 PM,Wednesday,10 AM to 8 PM,Thursday,10 AM to 8 PM,Friday,10 AM to 8 PM,Saturday,10 AM to 8 PM,Sunday,Closed,FALSE,+91 98240 32153,9.20E+11,380009,47,1,0,0,0,1,0,Gujarat,"Ground Floor - 1, Omkar House, Behind Femina Town, Near Swastik Char Rasta, Chimanlal Girdharlal Rd",શ્રીજી કોપિયર્સ & સ્ટેશનર્સ,3,https://www.google.com/maps/search/?api=1&query=Shreeji%20Copiers%20%26%20Stationers&query_place_id=ChIJMecFsvSEXjkRkzQsYVaA6F8,
Ambika Xerox,"XJR7+9G9, Near Daxini Society, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008, India",Copy shop,,,,,,,,,,Copy shop,2.33E+18,Ahmedabad,TRUE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jLcAa9KwANnQy84olRxnMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=46.257473&pitch=0&thumbfov=100,2,FALSE,22.9909022,72.6138681,"Daxini Society, Maninagar",Monday,"8:30 AM to 2 PM, 4 to 9 PM",Tuesday,"8:30 AM to 2 PM, 4 to 9 PM",Wednesday,"8:30 AM to 2 PM, 4 to 9 PM",Thursday,"8:30 AM to 2 PM, 4 to 9 PM",Friday,"8:30 AM to 2 PM, 4 to 9 PM",Saturday,"8:30 AM to 2 PM, 4 to 9 PM",Sunday,8:30 AM to 2 PM,FALSE,+91 99988 80683,9.20E+11,380008,4,3,,,,,,Gujarat,"XJR7+9G9, Near Daxini Society",અંબિકા ઝેરોક્સ,3.3,https://www.google.com/maps/search/?api=1&query=Ambika%20Xerox&query_place_id=ChIJWUgUa-KFXjkRugEcXtz6RyA,
Umiya Xerox And Stationeries,"B-36,Radhe Shopping, Khokhra Cir, G I D C Industrial Area, Ahmedabad, Gujarat 380008, India",Copy shop,Lamination service,,,,,,,,,Copy shop,9.19E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEgfnuu3sES2GlJJIpMNuYM2fgcGp-kg2pUXeEkTmWDdG_JV1W-dFdGYdQ2WTYsJj91rHLgTmoRFC0tyKGvTwT0rKlkvlFRqfd_FVCGTDtEsnYHCYXZfJCamLKpoHeClNJvJSsNq6Mx6mrjhotrg3MFqzkPhqFHWO85dn2oGxBWCikjRjY5eSJGfEo_dF8f9K5T4dE=w408-h306-k-no,144,FALSE,23.0028829,72.6193536,"G I D C Industrial Area, Khokhra",Monday,8:30 AM to 8:30 PM,Tuesday,8:30 AM to 8:30 PM,Wednesday,8:30 AM to 8:30 PM,Thursday,8:30 AM to 8:30 PM,Friday,8:30 AM to 8:30 PM,Saturday,8:30 AM to 8:30 PM,Sunday,Closed,FALSE,+91 98987 66956,9.20E+11,380008,6,2,,,,,,Gujarat,"B-36,Radhe Shopping, Khokhra Cir",ઉમિયા ઝેરોક્સ એન્ડ સ્ટેશનરીઝ,4,https://www.google.com/maps/search/?api=1&query=Umiya%20Xerox%20And%20Stationeries&query_place_id=ChIJnTdSRnSGXjkRHeCX8YyQj38,
New Maheshwari Copiers,"5, Muktajiwan Estate, Near Swaminarayan Wadi, Old Railway Crossing, Bhairavnath Rd, Maninagar, Ahmedabad, Gujarat 380008, India",Copy shop,Pen store,,,,,,,,,Copy shop,1.70E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipPdbkjICLG4HUHRljosH9o3MdyYRFzWJcoEomjk=w426-h240-k-no,7,FALSE,22.99505,72.611707,Maninagar,Monday,9 AM to 9:30 PM,Tuesday,9 AM to 9:30 PM,Wednesday,9 AM to 9:30 PM,Thursday,9 AM to 9:30 PM,Friday,9 AM to 9:30 PM,Saturday,9 AM to 9:30 PM,Sunday,9 AM to 9:30 PM,FALSE,+91 95106 86265,9.20E+11,380008,7,15,,,,,,Gujarat,"5, Muktajiwan Estate, Near Swaminarayan Wadi, Old Railway Crossing, Bhairavnath Rd",ન્યુ મહેશ્વરી કોપિયર્સ,4.7,https://www.google.com/maps/search/?api=1&query=New%20Maheshwari%20Copiers&query_place_id=ChIJIXv1_eCFXjkRmM-lGT8mauw,
Swastik Xerox,"Shop No -1upper, Leval Tempal, Dharnidhar Derasar, Dharnidhar Cross Rd, Dharnidhar Society, Lavanya Society, Vasna, Ahmedabad, Gujarat 380007, India",Print shop,,,,,,,,,,Print shop,9.15E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipPzWZtNal0bdCazvXlkN5aOx_KJzkGyE_F9vvP5=w408-h544-k-no,39,FALSE,23.0085797,72.5484087,"Dharnidhar Society, Lavanya Society, Vasna",Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 5 PM,FALSE,+91 94261 89957,9.19E+11,380007,9,13,,,,,,Gujarat,"Shop No -1upper, Leval Tempal, Dharnidhar Derasar, Dharnidhar Cross Rd",,4.4,https://www.google.com/maps/search/?api=1&query=Swastik%20Xerox&query_place_id=ChIJO21ooQuFXjkRT9MlLq1l-n4,
HAPPY XEROX,"Freniben Desai Marg, Fatehpura Gam, Paldi, Ahmedabad, Gujarat 380007, India",Print shop,,,,,,,,,,Print shop,3.56E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipNCrx4UZliQW95uX9czZC-NvPLgEiWpxN5lHrk-=w408-h271-k-no,8,FALSE,23.0068289,72.5569966,"Fatehpura Gam, Paldi",Monday,9 AM to 10 PM,Tuesday,9 AM to 10 PM,Wednesday,9 AM to 10 PM,Thursday,9 AM to 10 PM,Friday,9 AM to 10 PM,Saturday,9 AM to 10 PM,Sunday,9 AM to 10 PM,FALSE,,,380007,10,153,,,,,,Gujarat,Freniben Desai Marg,,4.9,https://www.google.com/maps/search/?api=1&query=HAPPY%20XEROX&query_place_id=ChIJt1pQUvGFXjkRZHb7KhouXzE,http://www.happyxerox.in/
Sanjay Telecom Xerox,"51, Pankaj Society, Bhatta, Paldi, Ahmedabad, Gujarat 380007, India",Copy shop,,,,,,,,,,Copy shop,8.33E+18,Ahmedabad,TRUE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqawkLSajkOx1izbm_m3y1f_uEwlbwsGQ6jpq9ir4-r4ToG9Dyy3BgfIJ0e8FGoE1DucEedVVmVm1BygjTU279KCwlhYVSEzMfoEwSzGnaM9x7JYwczpJ_VTaSUFEEYVYINzGx6jA=w425-h240-k-no,5,FALSE,23.0045178,72.5556783,"Pankaj Society, Bhatta, Paldi",Monday,8 AM to 8:30 PM,Tuesday,8 AM to 8:30 PM,Wednesday,8 AM to 8:30 PM,Thursday,8 AM to 8:30 PM,Friday,8 AM to 8:30 PM,Saturday,8 AM to 8:30 PM,Sunday,8 AM to 6 PM,FALSE,+91 94286 01475,9.19E+11,380007,19,9,,,,,,Gujarat,51,સંજય ટેલિકોમ ઝેરોક્સ,4.6,https://www.google.com/maps/search/?api=1&query=Sanjay%20Telecom%20Xerox&query_place_id=ChIJie7ttRqFXjkRVN2eI1O4oXM,
Pooja Xerox,"G.F.- 2, Vijay Complex, Near Vasna Bus Stand, Vasna Rd, Pravinnagar, Vasna, Ahmedabad, Gujarat 380007, India",Copy shop,Lamination service,Payphone,,,,,,,,Copy shop,9.49E+18,Ahmedabad,TRUE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OKHzjxZ_L73X8Sva5jb8cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=0.95794755&pitch=0&thumbfov=100,2,FALSE,23.002301,72.549099,"Pravinnagar, Vasna",,,,,,,,,,,,,,,FALSE,+91 96623 66071,9.20E+11,380007,23,18,12,4,1,1,0,Gujarat,"G.F.- 2, Vijay Complex, Near Vasna Bus Stand, Vasna Rd",પૂજા ઝેરોક્ષ,4.4,https://www.google.com/maps/search/?api=1&query=Pooja%20Xerox&query_place_id=ChIJSRuNWBeFXjkRHdY-4aahsYM,
Saloni Enterprise Stationary and Xerox Ro plant Sales & service,"Shop No - 16,G/F Swaminarayan Park 2, NR. Popular Wheelar Service B/H. G.B, shah College, Vasna, Ahmedabad, Gujarat 380007, India",Print shop,Pen store,Water purification company,Water treatment supplier,,,,,,,Print shop,1.17E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqLaNiMSe566nYDPv26lL_VyADAgkSe25RIDMBmnBE94KO54JdiGCu_ijN4r6-JRXDaNm0QrbP93ZwPlZ8So2YFIOl9BS0n4qBiyx4J3ah8MZsUgpasm7FcvcR8i5_KNzqhULS27w=w408-h886-k-no,28,FALSE,22.9927206,72.5431473,Vishala,Monday,9:30 AM to 8 PM,Tuesday,9:30 AM to 8 PM,Wednesday,9:30 AM to 8 PM,Thursday,9:30 AM to 8 PM,Friday,9:30 AM to 8 PM,Saturday,9:30 AM to 8 PM,Sunday,9:30 AM to 8 PM,FALSE,+91 99098 90907,9.20E+11,380007,26,10,9,1,0,0,0,Gujarat,"Shop No - 16,G/F Swaminarayan Park 2, NR. Popular Wheelar Service B/H. G.B, shah College, Vasna",સલોની એન્ટરપ્રાઈઝ સ્ટેશનરી એન્ડ ઝેરોક્સ રો પ્લાન્ટ સેલ્સ & સર્વિસ,4.9,https://www.google.com/maps/search/?api=1&query=Saloni%20Enterprise%20Stationary%20and%20Xerox%20Ro%20plant%20Sales%20%26%20service&query_place_id=ChIJs-0URBiFXjkRgPgOPXZC16I,
Giriraj Copier,"Shop No 8, Sambhavtirth Shopping Centre, Vasna, Ahmedabad, Gujarat 380007, India",Copy shop,Banner store,Income tax help association,Lamination service,Notary public,Passport agent,Passport photo processor,Rubber stamp store,Vinyl sign shop,,Copy shop,2.44E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipMzeP2ajK2dH4HWmQi449hjoCorZEKKW5imF00O=w408-h306-k-no,14,FALSE,22.9996935,72.5472039,Vasna,Monday,9:30 AM to 8 PM,Tuesday,9:30 AM to 8 PM,Wednesday,9:30 AM to 8 PM,Thursday,9:30 AM to 8 PM,Friday,9:30 AM to 8 PM,Saturday,9:30 AM to 8 PM,Sunday,10:30 AM to 1 PM,FALSE,+91 88666 62269,9.19E+11,380007,27,83,79,0,3,1,0,Gujarat,"Shop No 8, Sambhavtirth Shopping Centre",ગિરિરાજ કોપિયર,4.8,https://www.google.com/maps/search/?api=1&query=Giriraj%20Copier&query_place_id=ChIJ7XX8qReFXjkR6S9AXunz1SE,https://www.facebook.com/girirajcopier/
Chaitanya Xerox,"2, Hitek Centre, opposite Sanskar Kendra, Paldi, Paldi, Ahmedabad, Gujarat 380007, India",Copy shop,,,,,,,,,,Copy shop,3.99E+18,Ahmedabad,FALSE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j4NruUT0MQZoOuVgBiR52Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=192.62479&pitch=0&thumbfov=100,1,FALSE,23.012413,72.568228,"Paldi Gaam, Paldi",Monday,9:30 AM to 8 PM,Tuesday,9:30 AM to 8 PM,Wednesday,9:30 AM to 8 PM,Thursday,9:30 AM to 8 PM,Friday,9:30 AM to 8 PM,Saturday,9:30 AM to 8 PM,Sunday,Closed,FALSE,+91 96875 07001,9.20E+11,380007,12,9,,,,,,Gujarat,"2, Hitek Centre, opposite Sanskar Kendra, Paldi",ચૈતન્ય ઝેરોક્સ,4.2,https://www.google.com/maps/search/?api=1&query=Chaitanya%20Xerox&query_place_id=ChIJ_____wKFXjkRPLyC3_FDYTc,
Mahavir Xerox and Stationery,"LL-2, Murlidhar Complex, Surendra Mangaldas Rd, beside Sunphoto, Patel Colony, Ambawadi, Ahmedabad, Gujarat 380015, India",Copy shop,Christmas store,Dairy store,Passport photo processor,Photo lab,Photography service,Photography studio,Print shop,Stationery store,Stationery wholesaler,Copy shop,7.06E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipNub2NvjuNMy32VpzZ_tvos2YeHlbRClvCla7w0=w408-h544-k-no,52,FALSE,23.0217123,72.5463133,"Patel Colony, Ambawadi",Monday,8 AM to 12 AM,Tuesday,8 AM to 12 AM,Wednesday,8 AM to 12 AM,Thursday,8 AM to 12 AM,Friday,8 AM to 12 AM,Saturday,8 AM to 12 AM,Sunday,8 AM to 12 AM,FALSE,+91 90332 22386,9.19E+11,380015,15,158,,,,,,Gujarat,"LL-2, Murlidhar Complex, Surendra Mangaldas Rd, beside Sunphoto",,4.9,https://www.google.com/maps/search/?api=1&query=Mahavir%20Xerox%20and%20Stationery&query_place_id=ChIJ9W8tMRqFXjkRwuX0TX4B9WE,
Gandhi Xerox,"F-5,Sundar Gopal Complex,Ambawadi Circle,Ambawadi, Panchavati Rd, opposite centro mall, Panchavati Society, Gulbai Tekra, Ahmedabad, Gujarat 380006, India",Digital printing service,Bookbinder,Digital printer,Lamination service,Offset printing service,Print shop,Screen printing shop,,,,Digital printing service,1.55E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipM8TCiLxsJqJdfJwOEiSApoHxgVb5Mc3Z4jxe7E=w408-h272-k-no,22,FALSE,23.0211692,72.5539335,"Panchavati Society, Gulbai Tekra",Monday,8 AM to 9 PM,Tuesday,8 AM to 9 PM,Wednesday,8 AM to 9 PM,Thursday,8 AM to 9 PM,Friday,8 AM to 9 PM,Saturday,8 AM to 9 PM,Sunday,10:30 AM to 2 PM,FALSE,+91 72288 18844,9.17E+11,380006,16,69,,,,,,Gujarat,"F-5,Sundar Gopal Complex,Ambawadi Circle,Ambawadi, Panchavati Rd, opposite centro mall",ગાંધી ઝેરોક્ષ,4.5,https://www.google.com/maps/search/?api=1&query=Gandhi%20Xerox&query_place_id=ChIJ____P_iEXjkRU9MlIW8vc9Y,http://www.gandhixerox.com/
Kunal Xerox,"Near Standard Chartered Bank, Navrangpura, Mithakhali Six Rd, Mithakhali, Ellisbridge, Ahmedabad, Gujarat 380009, India",Copy shop,,,,,,,,,,Copy shop,4.24E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrvZA-HnTlLNYlhK9wrGfJcVWg20RFmAtkU_rH8xvHYmmeZSNpXzofX2SZb5C49iMfZp-3MFHWeY1tasH1EgZG7V4Pxqcn6B7V7pd-c6-XuaBdw8-LviCHlWhdStW_gI8S3zrFD=w408-h306-k-no,27,FALSE,23.0318526,72.5627745,"Mithakhali, Ellisbridge",Monday,10 AM to 6:30 PM,Tuesday,10 AM to 6:30 PM,Wednesday,10 AM to 6:30 PM,Thursday,10 AM to 6:30 PM,Friday,10 AM to 6:30 PM,Saturday,10 AM to 6:30 PM,Sunday,10 AM to 6:30 PM,FALSE,+91 79 2646 2020,9.18E+11,380009,20,445,,,,,,Gujarat,"Near Standard Chartered Bank, Navrangpura, Mithakhali Six Rd",કુણાલ ઝેરોક્ષ,4.1,https://www.google.com/maps/search/?api=1&query=Kunal%20Xerox&query_place_id=ChIJe52MuvaEXjkRzUN_VBYl5Do,
S P xerox,"New Cloth Market, 26, Cabin No, Raipur, near 512, Ahmedabad, Gujarat 380025, India",Print shop,,,,,,,,,,Print shop,1.63E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmiM_nsl-lwphvw-I5lK8lWc9TcmZ13o6efC_mUBxLvgKxmFjlochp4qrO5F51eEUcfNQOgfq8hzzvmafTt0FWsps7EU-8ewYZBvXNCMHt-kTWxvh-sT-tszztGdIS3FNbaOvoZA=w408-h544-k-no,1,FALSE,23.0178769,72.5999897,"New Cloth Market, Sarangpur, Sherkotda",Monday,9 AM to 9 PM,Tuesday,9 AM to 9:30 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 3 PM,FALSE,,,380025,1,2,,,,,,Gujarat,"New Cloth Market, 26, Cabin No, Raipur, near 512",,5,https://www.google.com/maps/search/?api=1&query=S%20P%20xerox&query_place_id=ChIJTXRxuv-HXjkR3iqsjg_KD-I,
JAY XEROX,"1530, near, Piplawali, opp. Dolatkhana, Juni Golwad, Sarangpur, Khadia, Ahmedabad, Gujarat 380001, India",Print shop,,,,,,,,,,Print shop,1.03E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipP4LQHb1ISttzn52SrrHWV803B-Nz3TLAb1lEIu=w408-h544-k-no,11,FALSE,23.0206539,72.5959017,"Juni Golwad, Sarangpur, Khadia",,,,,,,,,,,,,,,FALSE,,,380001,2,1,,,,,,Gujarat,"1530, near, Piplawali, opp. Dolatkhana",,5,https://www.google.com/maps/search/?api=1&query=JAY%20XEROX&query_place_id=ChIJFdrGw4KFXjkRw_LMzdzLRI8,
Sony Xerox Center,"Old City, Sarangpur, Sherkotda, Ahmedabad, Gujarat 380001, India",Print shop,Bookbinder,Commercial printer,Digital printer,Drafting service,Lamination service,,,,,Print shop,1.56E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipOwVG5dIaFR8v17Fgl3skgnMium8KRaqRBNNJgH=w408-h500-k-no,3,FALSE,23.022033,72.595642,"Old City, Sarangpur, Sherkotda",Monday,"8:30 AM to 1:30 PM, 4 to 8:30 PM",Tuesday,"8:30 AM to 1:30 PM, 4 to 8:30 PM",Wednesday,"8:30 AM to 1:30 PM, 4 to 8:30 PM",Thursday,"8:30 AM to 1:30 PM, 4 to 8:30 PM",Friday,"8:30 AM to 1:30 PM, 4 to 8:30 PM",Saturday,"8:30 AM to 1:30 PM, 4 to 8:30 PM",Sunday,8:30 AM to 1 PM,FALSE,+91 98258 01898,9.20E+11,380001,5,7,,,,,,Gujarat,,સોની ઝેરોક્ષ સેન્ટર,5,https://www.google.com/maps/search/?api=1&query=Sony%20Xerox%20Center&query_place_id=ChIJxSGK9TSEXjkRwy0SUFPw39c,
Classic Xerox & Online Multilink Services,"Shop no 8, Hathi Khai Rd, opp. Sheetal Cinema, Gomtipur Police Lines, Gomtipur, Ahmedabad, Gujarat 380021, India",Print shop,,,,,,,,,,Print shop,1.12E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipOv_t0H-17jE9NcB9czSgFiBPbdojy5WEpho_wV=w408-h306-k-no,4,FALSE,23.0213553,72.6100477,"Gomtipur Police Lines, Gomtipur",,,,,,,,,,,,,,,FALSE,+91 96387 74406,9.20E+11,380021,6,2,,,,,,Gujarat,"Shop no 8, Hathi Khai Rd, opp. Sheetal Cinema",,5,https://www.google.com/maps/search/?api=1&query=Classic%20Xerox%20%26%20Online%20Multilink%20Services&query_place_id=ChIJPbMhzEKFXjkRw8Vu98l26Zs,
Gulshan Xerox,"679/19,Deepak Chamber,Kalupur,oppsite Railway Station Kalupur, Kalupur Tower Rd, Kalupur, Ahmedabad, Gujarat 380002, India",Copy shop,Lamination service,Print shop,Train ticket agency,,,,,,,Copy shop,1.15E+19,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipOfS7PriHb0HbCZBpTFyDMtN1eAy4Fc4PdN4Wfu=w408-h580-k-no,1,FALSE,23.0274199,72.599554,"Suodagarpole, Revdi Bazar, Kalupur",Monday,7 AM to 10 PM,Tuesday,7 AM to 10 PM,Wednesday,7 AM to 10 PM,Thursday,7 AM to 10 PM,Friday,7 AM to 10 PM,Saturday,7 AM to 10 PM,Sunday,7 AM to 10 PM,FALSE,,,380002,14,4,,,,,,Gujarat,"679/19,Deepak Chamber,Kalupur,oppsite Railway Station Kalupur, Kalupur Tower Rd",ગુલશન ઝેરોક્ષ,4.3,https://www.google.com/maps/search/?api=1&query=Gulshan%20Xerox&query_place_id=ChIJq6qqOjeEXjkRXQUOpS2jIJ8,https://gulshanxerox.blogspot.com/
